127.0.0.1 - - [11/Mar/2023:20:08:03 +0530] "GET / HTTP/1.1" 404 752
127.0.0.1 - - [11/Mar/2023:20:08:04 +0530] "GET /JSP/ HTTP/1.1" 404 760
127.0.0.1 - - [11/Mar/2023:20:08:04 +0530] "GET /favicon.ico HTTP/1.1" 404 763
127.0.0.1 - - [11/Mar/2023:20:08:12 +0530] "GET /JSP/arithemetic.html HTTP/1.1" 404 776
127.0.0.1 - - [11/Mar/2023:20:08:20 +0530] "GET /JSP/arithemitic.html HTTP/1.1" 404 776
127.0.0.1 - - [11/Mar/2023:20:08:53 +0530] "GET /JSP/arithemitic.html HTTP/1.1" 404 776
127.0.0.1 - - [11/Mar/2023:20:09:02 +0530] "GET /JSP/arithmetic.html HTTP/1.1" 404 775
127.0.0.1 - - [11/Mar/2023:20:09:13 +0530] "GET /JSP/arithemetic.html HTTP/1.1" 404 776
127.0.0.1 - - [11/Mar/2023:20:09:26 +0530] "GET /JSP/arithimetic.html HTTP/1.1" 200 377
127.0.0.1 - - [11/Mar/2023:20:10:44 +0530] "GET /JSP/arithimetic.html HTTP/1.1" 200 494
127.0.0.1 - - [11/Mar/2023:20:10:51 +0530] "GET /JSP/arithimetic.html HTTP/1.1" 200 498
127.0.0.1 - - [11/Mar/2023:20:11:00 +0530] "GET /JSP/arthimetic.jsp?fnumber=10&snumber=2 HTTP/1.1" 404 745
127.0.0.1 - - [11/Mar/2023:20:11:41 +0530] "GET /JSP/arthimetic.jsp?fnumber=10&snumber=2 HTTP/1.1" 404 745
127.0.0.1 - - [11/Mar/2023:20:11:44 +0530] "GET /JSP/arthimetic.jsp?fnumber=10&snumber=2 HTTP/1.1" 404 745
127.0.0.1 - - [11/Mar/2023:20:12:41 +0530] "GET /JSP/ HTTP/1.1" 404 760
127.0.0.1 - - [11/Mar/2023:20:12:41 +0530] "GET /favicon.ico HTTP/1.1" 404 763
127.0.0.1 - - [11/Mar/2023:20:12:52 +0530] "GET /JSP/arithimetic.html HTTP/1.1" 200 498
127.0.0.1 - - [11/Mar/2023:20:12:58 +0530] "GET /JSP/arithmetic.jsp?fnumber=10&snumber=2 HTTP/1.1" 200 85
127.0.0.1 - - [11/Mar/2023:20:13:01 +0530] "GET /JSP/arithmetic.jsp?fnumber=10&snumber=0 HTTP/1.1" 500 117
127.0.0.1 - - [11/Mar/2023:20:22:06 +0530] "GET /JSP/ HTTP/1.1" 404 760
127.0.0.1 - - [11/Mar/2023:20:22:07 +0530] "GET /favicon.ico HTTP/1.1" 404 763
127.0.0.1 - - [11/Mar/2023:20:22:10 +0530] "GET /JSP/mime.jsp HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [11/Mar/2023:20:23:03 +0530] "GET /JSP/ HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [11/Mar/2023:20:23:03 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [11/Mar/2023:20:23:23 +0530] "GET /JSP/mime.jsp HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [11/Mar/2023:20:23:52 +0530] "GET /JSP/ HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [11/Mar/2023:20:23:57 +0530] "GET /JSP/mime.jsp HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [11/Mar/2023:20:24:00 +0530] "OPTIONS /JSP/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:20:24:00 +0530] "OPTIONS /JSP/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:20:24:00 +0530] "OPTIONS /JSP/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:20:24:00 +0530] "HEAD /JSP/mime.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:20:24:00 +0530] "HEAD /JSP/mime.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:20:24:00 +0530] "HEAD /JSP/mime.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:20:24:06 +0530] "OPTIONS /JSP/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:20:24:06 +0530] "OPTIONS /JSP/ HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Mar/2023:20:29:29 +0530] "GET /JSP/ HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [11/Mar/2023:20:29:29 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [11/Mar/2023:20:29:33 +0530] "GET /JSP/mime.jsp HTTP/1.1" 200 87
127.0.0.1 - - [11/Mar/2023:20:42:49 +0530] "GET /JSP/ HTTP/1.1" 404 760
127.0.0.1 - - [11/Mar/2023:20:42:49 +0530] "GET /favicon.ico HTTP/1.1" 404 763
127.0.0.1 - - [11/Mar/2023:20:42:56 +0530] "GET /JSP/session.jsp HTTP/1.1" 200 198
